fileID,adl,subject,session,original_duration,trimmed_duration,percent_removed,reduced_50_percent
278,10,1825,3,10.31,8.54,17.16779825412221,False
279,10,1975,1,5.35,2.12,60.373831775700936,True
280,10,1975,2,5.76,2.94,48.958333333333336,False
281,10,1975,3,5.69,3.76,33.91915641476274,False
282,10,1978,1,2.89,2.89,0.0,False
283,10,1978,2,2.16,2.16,0.0,False
284,10,1978,3,3.22,1.14,64.59627329192547,True
285,10,2045,1,2.75,1.48,46.18181818181818,False
286,10,2045,2,2.43,2.43,0.0,False
287,10,2045,3,2.71,1.04,61.62361623616236,True
288,10,2056,1,10.38,3.78,63.58381502890173,True
289,10,2056,2,10.11,4.02,60.23738872403561,True
290,10,2056,3,9.7,5.92,38.96907216494845,False
291,10,2097,1,4.48,1.86,58.482142857142854,True
292,10,2097,2,5.06,1.58,68.77470355731225,True
293,10,2097,3,4.37,1.42,67.50572082379863,True
294,10,2115,1,14.69,6.48,55.88835942818244,True
295,10,2115,2,13.99,5.58,60.11436740528949,True
296,10,2115,3,12.92,6.24,51.702786377708975,True
297,10,2116,1,9.35,6.38,31.764705882352942,False
298,10,2116,2,5.82,3.06,47.422680412371136,False
299,10,2116,3,4.91,2.46,49.89816700610998,False
300,10,2136,1,5.11,3.56,30.332681017612526,False
301,10,2136,2,4.77,1.82,61.84486373165618,True
302,10,2136,3,4.97,2.0,59.758551307847085,True
303,10,2155,1,6.73,5.64,16.196136701337295,False
304,10,2155,2,6.23,5.18,16.853932584269664,False
305,10,2155,3,6.46,4.34,32.81733746130031,False
306,10,2159,1,9.15,4.9,46.44808743169399,False
307,10,2159,2,8.2,4.68,42.926829268292686,False
308,10,2159,3,8.22,4.76,42.092457420924575,False
309,10,2160,1,8.17,4.12,49.57160342717258,False
310,10,2160,2,9.56,6.12,35.98326359832636,False
311,10,2160,3,6.86,4.38,36.15160349854227,False
312,11,0,1,4.96,3.3,33.46774193548387,False
313,11,0,2,4.54,3.58,21.145374449339208,False
314,11,0,3,5.49,3.6,34.42622950819672,False
315,11,0,4,4.53,2.22,50.99337748344371,True
316,11,0,5,3.41,2.62,23.167155425219942,False
317,11,1125,1,3.33,2.34,29.72972972972973,False
318,11,1125,2,3.66,1.78,51.36612021857923,True
319,11,1125,3,4.16,3.08,25.96153846153846,False
320,11,1125,4,4.06,3.44,15.270935960591133,False
321,11,1125,5,4.5,3.12,30.666666666666668,False
322,11,1279,1,2.47,1.52,38.46153846153846,False
323,11,1279,2,2.25,1.34,40.44444444444444,False
324,11,1279,3,2.49,2.49,0.0,False
325,11,1279,4,2.76,2.76,0.0,False
326,11,1279,5,2.47,2.47,0.0,False
327,11,1313,1,3.43,1.48,56.85131195335277,True
328,11,1313,2,4.35,1.5,65.51724137931035,True
329,11,1313,3,3.53,1.44,59.20679886685552,True
330,11,1313,4,3.4,1.9,44.11764705882353,False
331,11,1313,5,3.65,1.6,56.16438356164384,True
332,11,1324,1,5.78,3.64,37.0242214532872,False
333,11,1324,2,6.07,3.78,37.72652388797364,False
334,11,1324,3,5.71,3.04,46.760070052539405,False
335,11,1324,4,5.77,3.62,37.26169844020797,False
336,11,1324,5,5.33,3.58,32.833020637898684,False
337,11,1358,1,1.42,1.42,0.0,False
338,11,1358,2,2.42,1.02,57.85123966942149,True
339,11,1358,3,2.11,2.11,0.0,False
340,11,1358,4,2.18,1.36,37.61467889908257,False
341,11,1358,5,2.03,1.7,16.25615763546798,False
342,11,1390,1,5.36,2.62,51.11940298507463,True
343,11,1390,2,5.26,3.36,36.12167300380228,False
344,11,1390,3,4.08,2.7,33.8235294117647,False
345,11,1390,4,4.44,3.06,31.08108108108108,False
346,11,1390,5,4.76,2.7,43.27731092436975,False
347,11,1396,1,1.94,1.94,0.0,False
348,11,1396,2,2.5,1.84,26.4,False
349,11,1396,3,2.23,2.23,0.0,False
350,11,1396,4,2.72,1.94,28.676470588235293,False
351,11,1396,5,3.38,3.18,5.9171597633136095,False
352,11,1405,1,22.59,15.6,30.942895086321382,False
353,11,1405,2,10.45,3.5,66.50717703349282,True
354,11,1405,3,12.24,7.76,36.60130718954248,False
355,11,1405,4,14.21,11.3,20.47853624208304,False
356,11,1405,5,13.39,12.7,5.1530993278566095,False
357,11,1435,1,1.89,1.04,44.973544973544975,False
358,11,1435,2,2.22,2.18,1.8018018018018018,False
359,11,1435,3,1.59,1.59,0.0,False
360,11,1435,4,2.04,1.1,46.07843137254902,False
361,11,1435,5,1.6,1.6,0.0,False
362,11,1453,1,1.89,1.04,44.973544973544975,False
363,11,1453,2,2.22,2.18,1.8018018018018018,False
364,11,1453,3,1.59,1.59,0.0,False
365,11,1453,4,2.04,1.1,46.07843137254902,False
366,11,1453,5,1.6,1.6,0.0,False
367,11,1505,1,2.82,2.82,0.0,False
368,11,1505,2,2.49,2.49,0.0,False
369,11,1505,3,2.39,1.94,18.828451882845187,False
370,11,1505,4,2.15,2.15,0.0,False
371,11,1505,5,2.84,2.28,19.718309859154928,False
372,11,1570,1,3.87,2.58,33.333333333333336,False
373,11,1570,2,2.88,2.6,9.722222222222221,False
374,11,1570,3,3.08,2.58,16.233766233766232,False
375,11,1570,4,2.85,2.85,0.0,False
376,11,1570,5,3.35,1.96,41.492537313432834,False
377,11,1697,1,4.52,2.7,40.26548672566372,False
378,11,1697,2,3.86,2.62,32.12435233160622,False
379,11,1697,3,4.85,3.42,29.484536082474225,False
380,11,1697,4,4.29,3.18,25.874125874125873,False
381,11,1697,5,4.4,3.14,28.636363636363637,False
382,11,1735,1,2.8,2.62,6.428571428571429,False
383,11,1735,2,3.59,2.02,43.73259052924791,False
384,11,1735,3,2.74,1.1,59.85401459854015,True
385,11,1735,4,2.77,1.24,55.234657039711195,True
386,11,1735,5,2.47,2.47,0.0,False
387,11,1751,1,12.32,5.08,58.76623376623377,True
388,11,1751,2,12.37,4.86,60.71139854486661,True
389,11,1751,3,10.32,3.68,64.34108527131782,True
390,11,1751,4,14.43,7.82,45.807345807345804,False
391,11,1751,5,15.73,12.54,20.27972027972028,False
392,11,1777,1,3.44,2.76,19.767441860465116,False
393,11,1777,2,3.41,2.48,27.272727272727273,False
394,11,1777,3,3.49,2.78,20.34383954154728,False
395,11,1777,4,2.98,2.64,11.409395973154362,False
396,11,1777,5,3.46,2.44,29.479768786127167,False
397,11,1803,1,2.04,1.02,50.0,False
398,11,1803,2,2.47,1.42,42.51012145748988,False
399,11,1803,3,2.77,2.04,26.353790613718413,False
400,11,1803,4,1.51,1.51,0.0,False
401,11,1803,5,1.62,1.62,0.0,False
402,11,1825,1,6.03,3.94,34.660033167495854,False
403,11,1825,2,7.36,4.3,41.57608695652174,False
404,11,1825,3,7.66,5.44,28.98172323759791,False
405,11,1825,4,8.45,6.82,19.28994082840237,False
406,11,1825,5,8.81,6.14,30.306469920544835,False
407,11,1975,1,1.84,1.84,0.0,False
408,11,1975,2,1.96,1.96,0.0,False
409,11,1975,3,2.05,2.05,0.0,False
410,11,1975,4,2.03,2.03,0.0,False
411,11,1975,5,1.84,1.84,0.0,False
412,11,1978,1,1.85,1.85,0.0,False
413,11,1978,2,2.01,2.01,0.0,False
414,11,1978,3,2.3,2.3,0.0,False
415,11,1978,4,1.63,1.63,0.0,False
416,11,1978,5,2.08,1.72,17.307692307692307,False
417,11,2045,1,3.65,3.65,0.0,False
418,11,2045,2,4.24,2.98,29.71698113207547,False
419,11,2045,3,2.75,2.75,0.0,False
420,11,2045,4,3.35,2.36,29.55223880597015,False
421,11,2045,5,2.67,1.56,41.57303370786517,False
422,11,2056,1,9.07,2.78,69.34950385887541,True
423,11,2056,2,8.83,3.5,60.362400906002264,True
424,11,2056,3,8.82,3.1,64.85260770975057,True
425,11,2056,4,9.04,4.56,49.557522123893804,False
426,11,2056,5,8.58,2.84,66.8997668997669,True
427,11,2097,1,3.35,1.58,52.83582089552239,True
428,11,2097,2,2.84,1.46,48.59154929577465,False
